BST Experiments - Comparing Four Shuffling Methods
===================================================
1. No Shuffle (Sequential) - Worst Case O(n) height
2. Fisher-Yates (Classic) - Random Case O(log n) height
3. RANDOMIZE-IN-PLACE (CLRS) - Random Case O(log n) height
4. PERMUTE-BY-SORTING (CLRS) - Random Case O(log n) height

Size range: 10 to 50000
Number of size points: up to 60
Size progression: n = 10 * 1.2^i

Estimated runtime: 2-10 minutes depending on CPU
Progress will be shown below...

[1/4] Running NoShuffle experiments...

=== NoShuffle: Height Experiment ===
n,avg_height
163,0.000171,0.000229,0.000231,0.000236
188,0.000205,0.000276,0.000275,0.000277
216,0.000224,0.000315,0.000366,0.000291
248,0.000258,0.000349,0.000349,0.000365
286,0.000297,0.000428,0.000416,0.000446
329,0.000343,0.000497,0.000468,0.000485
378,0.000405,0.000555,0.000571,0.000588
435,0.000450,0.000638,0.000643,0.000647
500,0.000513,0.000721,0.000751,0.000773
575,0.000589,0.000805,0.000825,0.000858
662,0.000693,0.000998,0.001029,0.001020
761,0.000761,0.001110,0.001143,0.001147
875,0.000893,0.001362,0.001414,0.001351
1006,0.001100,0.002230,0.002050,0.001910
1158,0.001350,0.002240,0.002190,0.002210
1331,0.001550,0.002570,0.002670,0.002560
1531,0.001700,0.002920,0.003030,0.003210
1761,0.002050,0.003330,0.003290,0.003340
2025,0.002450,0.003840,0.003890,0.003870
2329,0.002800,0.004500,0.004500,0.004720
2678,0.003600,0.005120,0.005590,0.005290
3080,0.003900,0.006350,0.006220,0.005970
3542,0.005050,0.007210,0.007020,0.007460
4073,0.007250,0.008360,0.010800,0.009650
4684,0.010700,0.010280,0.011860,0.010280
5387,0.011600,0.012950,0.012380,0.012100
6195,0.009500,0.015550,0.015090,0.016000
7125,0.011550,0.018010,0.018220,0.019050
8194,0.011850,0.021930,0.021890,0.021510
9423,0.015100,0.026360,0.028070,0.026480
10836,0.014750,0.032180,0.030660,0.031170
12462,0.016950,0.040220,0.037200,0.038450
14331,0.021250,0.045260,0.044270,0.042580
16481,0.019600,0.050690,0.052720,0.050830
18953,0.023900,0.059070,0.061730,0.057320
21796,0.028400,0.071190,0.072130,0.074090
25065,0.032050,0.090340,0.084140,0.083890
28825,0.037400,0.117750,0.118010,0.107340
33149,0.040000,0.125950,0.133450,0.128100
38121,0.052900,0.174140,0.166020,0.170010

All experiments completed!
